Race Codes: ,,,,,,,,,,,,,,,,,,,,,,,,
AI: ,AMERICAN INDIAN OR ALASKAN NATIVE,,,,,,,,,,,,,,,,,,,,,,,
AP: ,ASIAN OR PACIFIC ISLANDER,,,,,,,,,,,,,,,,,,,,,,,
BH: ,BLACK NOT OF HISPANIC ORIGIN,,,,,,,,,,,,,,,,,,,,,,,
HP: ,HISPANIC,,,,,,,,,,,,,,,,,,,,,,,
WH: ,WHITE NOT OF HISPANIC ORIGIN,,,,,,,,,,,,,,,,,,,,,,,
OT: ,OTHER,,,,,,,,,,,,,,,,,,,,,,,
UK: ,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,
COUNTY ID,COUNTY NAME,      AI         MALE  VOTERS,    AI        FEMALE VOTERS,    AI        UNKNOWN VOTERS,AP    MALE  VOTERS,    AP        FEMALE VOTERS,    AP        UNKNOWN VOTERS,    BH     MALE VOTERS,    BH     FEMALE VOTERS,    BH        UNKNOWN VOTERS,    HP       MALE  VOTERS,    HP       FEMALE  VOTERS,    HP        UNKNOWN VOTERS,    WH      MALE  VOTERS,   WH        FEMALE  VOTERS,    WH        UNKNOWN VOTERS,    OT        MALE  VOTERS,   OT      FEMALE  VOTERS,    OT        UNKNOWN VOTERS,    UK        MALE  VOTERS,UK        FEMALE VOTERS,    UK        UNKNOWN VOTERS,TOTAL VOTERS,
001,APPLING,5,3,0,20,25,0,800,1073,0,73,92,0,3564,4113,2,19,30,0,395,345,0,10559,
002,ATKINSON,1,5,0,1,1,0,360,493,2,96,135,1,1372,1573,0,10,6,0,81,83,3,4223,
003,BACON,3,1,0,8,8,0,274,493,1,33,37,0,2153,2548,2,6,15,0,187,185,1,5955,
004,BAKER,0,0,0,3,6,0,385,492,0,3,8,0,528,561,0,2,7,0,48,45,0,2088,
005,BALDWIN,16,19,0,91,95,0,3801,5672,4,63,90,0,5665,6505,7,47,57,0,569,444,2,23147,
006,BANKS,4,4,0,39,42,0,114,89,1,93,87,0,4549,4791,6,22,23,0,493,389,4,10750,
007,BARROW,25,23,1,487,524,1,2229,2896,5,873,1055,6,15867,17781,40,186,185,1,2621,2390,21,47217,
008,BARTOW,46,41,0,168,180,1,2562,3378,4,758,797,1,22917,25111,33,208,206,1,3794,3471,21,63698,
009,BEN HILL,3,5,0,19,21,0,1228,1974,0,56,70,0,2536,2923,3,15,21,0,139,149,2,9164,
010,BERRIEN,11,5,0,17,14,0,437,594,0,54,72,0,4079,4422,7,22,20,1,223,194,2,10174,
011,BIBB,59,64,0,525,511,4,21119,29803,29,351,541,2,18195,21328,22,357,442,0,3003,2690,45,99090,
012,BLECKLEY,3,3,0,23,24,0,532,826,0,16,25,0,2462,2667,4,13,14,1,142,137,2,6894,
013,BRANTLEY,4,2,0,6,9,0,110,155,0,19,23,0,4233,4651,2,11,21,0,306,233,2,9787,
014,BROOKS,4,6,0,9,20,0,1538,2021,0,57,74,0,2699,2904,2,27,22,0,299,259,0,9941,
015,BRYAN,33,28,0,157,179,1,1433,1846,4,317,376,1,8550,9485,11,111,139,1,1439,1379,12,25502,
016,BULLOCH,15,13,0,121,129,0,3850,5743,7,203,214,1,11465,12985,13,116,139,0,2288,2052,14,39368,
017,BURKE,11,8,0,15,21,0,2698,3837,6,48,46,1,3107,3355,6,30,37,0,641,496,1,14364,
018,BUTTS,10,7,0,15,27,0,1470,1880,4,71,74,0,4873,5339,8,57,46,1,667,633,6,15188,
019,CALHOUN,0,0,0,6,10,0,698,984,2,6,10,0,504,577,1,1,2,0,62,55,5,2923,
020,CAMDEN,31,28,0,105,182,1,2037,2858,1,251,348,0,8841,9956,7,141,191,0,3200,3245,9,31432,
021,CANDLER,3,2,0,8,12,0,468,666,0,41,69,0,1678,1965,4,9,9,0,320,266,0,5520,
022,CARROLL,42,53,1,178,203,0,5220,6921,12,572,654,1,24132,26600,35,262,334,4,3594,3558,19,72395,
023,CATOOSA,21,22,0,102,112,0,337,388,1,133,187,1,15130,17878,37,103,89,0,2900,2823,15,40279,
024,CHARLTON,4,3,0,20,11,0,482,686,0,12,9,0,1850,2108,4,11,24,1,447,374,0,6046,
025,CHATHAM,167,150,0,1161,1331,5,29868,39495,49,1850,2136,7,43215,48474,88,1024,1234,6,7651,7461,136,185508,
026,CHATTAHOOCHEE,0,3,0,25,28,0,358,465,1,68,71,0,782,846,0,18,24,0,261,168,0,3118,
027,CHATTOOGA,6,6,0,16,20,0,388,498,0,56,45,0,4701,5526,2,27,50,0,604,556,1,12502,
028,CHEROKEE,93,94,0,803,1042,2,4008,5060,9,2459,3001,6,61106,67669,65,828,885,4,8914,8429,66,164543,
029,CLARKE,36,31,0,571,720,5,7247,10761,8,894,1108,10,18047,20441,69,348,477,2,4254,4115,70,69214,
030,CLAY,1,0,0,3,3,0,401,623,0,1,1,0,352,394,0,2,1,0,39,31,0,1852,
